Season ,CHI ,CHV ,COL ,CLB ,DAL ,DCU ,HOU ,LA ,MIA ,MON,NE ,NY ,PHI ,POR ,RSL ,SJ ,SEA ,KC ,TB ,TOR ,VAN
1996,,,10213,18950,16011,15262,,28916,,,19205,23898,,,,17232,,12878,11679,,
1997,,,11835,15043,9678,16698,,20626,,,21423,16899,,,,13597,,9058,11333,,
1998,17886,,14812,12274,10947,16007,,21784,10284,,19187,16519,,,,13653,,8072,10312,,
1999,16016,,14029,17696,12211,17419,,17632,8689,,16795,14706,,,,14959,,8183,13106,,
2000,13387,,12580,15451,13102,18580,,20400,7460,,15463,17621,,,,12460,,9112,9452,,
2001,16388,,16481,17511,12574,21518,,17387,11177,,15654,20806,,,,9635,,9112,10479,,
2002,12922,,20690,17429,13122,16519,,19047,,,16927,18155,,,,11150,,12255,,,
2003,14005,,16772,16250,7906,15565,,21983,,,14641,15822,,,,10466,,15573,,,
2004,17153,,14195,16872,9008,17232,,23809,,,12226,17195,,,,13001,,14816,,,
2005,17238,17080,16638,12916,11189,16664,,24204,,,12525,15077,,,18037,13037,,9691,,,
2006,14111,19840,12056,13294,14982,18251,18935,20814,,,11786,14570,,,16366,,,11083,,,
2007,16490,14305,14749,15230,15154,20967,15883,24252,,,16787,16530,,,15960,,,11586,,20130,
2008,17034,15114,13659,14662,13024,19835,16939,26009,,,17580,15928,,,16179,13856,,10686,,20120,
2009,15487,15725,13018,14175,9883,15585,17624,20827,,,12427,12744,,,17831,10329,31203,10053,,20344,
2010,15814,14576,14329,14642,10815,14532,17310,21437,,,12987,18441,19254,,17095,9659,36173,10287,,20453,
2011,14274,14830,14838,12185,12861,15181,17694,23335,,,13222,19691,18259,18827,17594,11858,38496,17810,,20267,20412
2012,16409,13056,15175,14397,14199,13846,21015,23136,,22772,14001,18281,18053,20438,19087,13293,43144,19404,,18155,19475
2013,15228,8366,15440,16080,15373,13646,19923,22152,,20602,14844,19461,17867,20674,19218,12765,44038,19708,,18131,20038
