"Club","LastName","FirstName","Pos","BaseSalary","Compensation"
"VAN","Abdallah","Aminu","M",46500,46500
"DAL","Acosta","Kellyn","M",46500,70500
"VAN","Adekugbe","Samuel","D",46500,51500
"TOR","Agbossoumonde","Gale","D",46500,53166
"NE","Agudelo","Juan","F",145000,175000
"NY","Akpan","Andre","F",67595,67595
"SJ","Alas","Jaime","M",90000,91250
"PHI","Albright","Chris","D",75000,75000
"VAN","Alderson","Bryce","M",65000,80000
"CHI","Alex","de Lima","M",110000,119950
"NY","Alexander","Eric","M",70867,70867
"POR","Alhassan","Kalif","M",80000,89250
"SEA","Alonso","Osvaldo","M",210000,210000
"NE","Alston","Kevin","D",145000,194000
"CHV","Alvarez","Carlos","M",46500,81500
"RSL","Alvarez","Yordany","M",46500,46500
"CHI","Amarikwa","Quincy","F",46500,46500
"CHI","Anangono","Juan Luis","F",120000,120000
"PHI","Anding","Don","F",35125,35125
"CHI","Anibaba","Jalil","D",91245,131245
"CLB","Anor","Bernardo","M",46500,46500
"CHV","Antunez","Daniel","M",65000,72500
"TOR","Aparicio","Manuel","M",35125,35125
"VAN","Araujo Jr.","Paulo","F",60000,60000
"HOU","Arena","Anthony","D",35125,35125
"COL","Armstrong","David","M",46500,55964
"MTL","Arnaud","Davy","M",275000,290000
"CLB","Arrieta","Jairo","F",216000,225375
"HOU","Ashe","Corey","M",101250,105750
"CHI","Atouba","Yazid","F",46500,51500
"SJ","Attakora","Nana","D",61665,61665
"RSL","Attinella","Jeff","GK",46500,46500
"CHV","Avila","Eric","M",1e+05,120000
"SJ","Baca","Rafael","M",49500,49500
"DAL","Baladez","Bradlee","F",35125,36125
"RSL","Balchan","Rich","D",35125,35125
"SJ","Ballouchy","Mehdi","M",152006,152006
"NY","Barklage","Brandon","M",65000,71428
"NE","Barnes","Darrius","D",71467,72717
"HOU","Barnes","Giles","M",175000,184187
"CHI","Barouch","Orr","F",46500,46500
"NE","Barrett","Chad","F",105000,110709
"CLB","Barson","Chad","D",46500,46500
"SEA","Bates","Will","F",35125,35125
"RSL","Beckerman","Kyle","M",3e+05,328750
"CLB","Beckie","Drew","D",35125,35125
"SJ","Beitashour","Steven","D",49612,49612
"TOR","Bekker","Kyle","M",46500,72750
"RSL","Beltran","Anthony","D",166800,166800
